Date,Year,Month,Month Name,Month Short,Quarter,Day,Day Name,Day Short,Week Number
2015-01-01,2015,1,January,Jan,Q1,1,Thursday,Thu,1
2015-01-02,2015,1,January,Jan,Q1,2,Friday,Fri,1
2015-01-03,2015,1,January,Jan,Q1,3,Saturday,Sat,1
2015-01-04,2015,1,January,Jan,Q1,4,Sunday,Sun,1
2015-01-05,2015,1,January,Jan,Q1,5,Monday,Mon,2
2015-01-06,2015,1,January,Jan,Q1,6,Tuesday,Tue,2
2015-01-07,2015,1,January,Jan,Q1,7,Wednesday,Wed,2
2015-01-08,2015,1,January,Jan,Q1,8,Thursday,Thu,2
2015-01-09,2015,1,January,Jan,Q1,9,Friday,Fri,2
2015-01-10,2015,1,January,Jan,Q1,10,Saturday,Sat,2
2015-01-11,2015,1,January,Jan,Q1,11,Sunday,Sun,2
2015-01-12,2015,1,January,Jan,Q1,12,Monday,Mon,3
2015-01-13,2015,1,January,Jan,Q1,13,Tuesday,Tue,3
2015-01-14,2015,1,January,Jan,Q1,14,Wednesday,Wed,3
2015-01-15,2015,1,January,Jan,Q1,15,Thursday,Thu,3
2015-01-16,2015,1,January,Jan,Q1,16,Friday,Fri,3
2015-01-17,2015,1,January,Jan,Q1,17,Saturday,Sat,3
2015-01-18,2015,1,January,Jan,Q1,18,Sunday,Sun,3
2015-01-19,2015,1,January,Jan,Q1,19,Monday,Mon,4
2015-01-20,2015,1,January,Jan,Q1,20,Tuesday,Tue,4
2015-01-21,2015,1,January,Jan,Q1,21,Wednesday,Wed,4
2015-01-22,2015,1,January,Jan,Q1,22,Thursday,Thu,4
2015-01-23,2015,1,January,Jan,Q1,23,Friday,Fri,4
2015-01-24,2015,1,January,Jan,Q1,24,Saturday,Sat,4
2015-01-25,2015,1,January,Jan,Q1,25,Sunday,Sun,4
2015-01-26,2015,1,January,Jan,Q1,26,Monday,Mon,5
2015-01-27,2015,1,January,Jan,Q1,27,Tuesday,Tue,5
2015-01-28,2015,1,January,Jan,Q1,28,Wednesday,Wed,5
2015-01-29,2015,1,January,Jan,Q1,29,Thursday,Thu,5
2015-01-30,2015,1,January,Jan,Q1,30,Friday,Fri,5
2015-01-31,2015,1,January,Jan,Q1,31,Saturday,Sat,5
2015-02-01,2015,2,February,Feb,Q1,1,Sunday,Sun,5
2015-02-02,2015,2,February,Feb,Q1,2,Monday,Mon,6
2015-02-03,2015,2,February,Feb,Q1,3,Tuesday,Tue,6
2015-02-04,2015,2,February,Feb,Q1,4,Wednesday,Wed,6
2015-02-05,2015,2,February,Feb,Q1,5,Thursday,Thu,6
2015-02-06,2015,2,February,Feb,Q1,6,Friday,Fri,6
